name,B21-28F,B22-28F,B23-28F,B24-28F,B25-28F
Desulfonispora,0,0,0,2,0
Sporobacterium,0,0,0,1,0
Eubacterium::Blautia,0,0,0,0,0
Dokdonia,0,0,0,0,0
Ruminococcus::Parabacteroides,0,0,0,1,0
Faecalibacterium,0,0,0,4,0
Blautia::Lachnobacterium,0,0,0,2,0
Catabacter,0,0,0,1,0
Desulfosporosinus,0,0,0,3,0
Caminicella,0,0,0,0,0
Acetivibrio,0,0,0,0,0
Clostridium::Ruminococcus::Parabacteroides,1,0,0,0,0
Dysgonomonas,1,0,0,0,0
Desulfotomaculum::Clostridium,0,0,0,0,0
Adlercreutzia::Asaccharobacter,0,0,0,0,0
Acetitomaculum,0,0,0,0,0
Bacteroides::Tannerella,0,0,0,0,0
Flexibacter,0,0,0,1,0
Arthrobacter,0,0,0,0,0
Syntrophomonas,0,0,0,0,0
Paraeggerthella,0,0,0,0,0
Butyrivibrio::Clostridium,0,0,0,0,0
Pseudobutyrivibrio,0,0,0,1,0
Blautia::Ruminococcus::Coprococcus,0,0,0,0,0
Bacteroides::Parabacteroides,0,0,0,0,0
Blautia::Clostridium::Dorea,0,0,0,0,0
Paraprevotella::Prevotella,0,0,0,0,0
Candidatus Phytoplasma,0,0,0,0,0
Lactonifactor,0,0,0,1,0
Anaerostipes::Clostridium,0,0,0,0,0
Robinsoniella,0,0,0,0,0
Coprobacillus,0,0,0,0,0
Clostridium::Anaerotruncus,0,0,0,0,0
Subdoligranulum,0,0,0,0,0
Clostridium::Roseburia::Blautia,0,0,0,0,0
Ruminococcus::Blautia::Clostridium,0,0,0,0,0
Herbaspirillum,0,0,0,0,0
Anaerophaga,0,0,0,0,0
Lachnospira::Catonella,0,0,0,0,0
Leifsonia,0,0,0,0,0
Oxobacter,0,0,0,0,0
Clostridium::Anaerosporobacter,0,0,0,0,0
Tindallia::Clostridium,0,0,0,0,0
Roseburia::Eubacterium,0,0,0,0,0
Ruminococcus::Escherichia,0,0,0,0,0
Butyrivibrio::Pseudobutyrivibrio,0,0,0,0,0
Coprococcus::Ruminococcus,0,0,0,0,0
Sporobacter::Oscillospira,0,0,0,0,0
Atopobium,0,0,0,0,0
Gracilibacter,0,0,0,0,0
Azospirillum,0,1,0,0,0
Marinilabilia,1,0,0,0,0
Shigella::Enterobacter,0,0,0,0,0
Pseudobutyrivibrio::Butyrivibrio,0,0,0,0,0
Blautia::Lachnospira,0,0,0,0,0
Lachnobacterium::Roseburia,0,0,0,0,0
Bacillus::Bacteroides,0,0,0,0,0
Blautia::Clostridium::Desulfotomaculum,0,0,0,0,0
Cyanobium,0,0,1,0,0
Anaplasma,0,0,0,0,0
Haemophilus,1,0,0,0,0
Ruminococcus::Dorea,0,0,0,0,0
Algoriphagus,0,0,1,0,0
Lawsonia,0,0,0,0,0
Alkalitalea::Rhizobium,0,0,0,0,0
Barnesiella::Bacteroides,0,0,0,0,0
Azospirillum::Rhodospirillum,1,0,0,0,0
Eubacterium::Lachnospira,0,0,0,0,0
Slackia,0,0,0,0,0
Enterococcus,0,0,0,0,0
Dorea::Clostridium,0,0,0,0,0
Brevibacterium,0,0,0,0,0
Roseospirillum,0,0,0,0,0
Thalassospira,3,0,0,0,0
Erysipelothrix,0,0,0,0,0
Parvularcula,1,0,0,0,0
Pseudoalteromonas,1,0,0,0,0
Acidaminococcus,0,0,0,0,0
